id,domain,question,expected_intent,predicted_intent,intent_correct,expected_plan,predicted_plan,retrieval_plan_correct,has_enough_evidence,citation_check_passed,has_final_answer,final_answer_preview
dsa_001,digital_security,What is the main purpose of the Digital Security Act 2018?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 1, chunk eval_dsa_001 — retrieved as relevant context for the answer."
dsa_002,digital_security,How does the Digital Security Act define Critical Information Infrastructure?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 2, chunk eval_dsa_002 — retrieved as relevant context for the answer."
dsa_003,digital_security,What does the Digital Security Act say about extra-territorial application?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 3, chunk eval_dsa_003 — retrieved as relevant context for the answer."
dsa_004,digital_security,"Under section 8 of the Digital Security Act, who may request removal or blocking of data-information?",legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 4, chunk eval_dsa_004 — retrieved as relevant context for the answer."
dsa_005,digital_security,What is the punishment for illegal entrance in critical information infrastructure under section 17?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 7-8, chunk eval_dsa_005 — retrieved as relevant context for the answer."
dsa_006,digital_security,What offences are described as damage of computer or computer system under section 19?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 8-9, chunk eval_dsa_006 — retrieved as relevant context for the answer."
dsa_007,digital_security,"What is the punishment for hiding, destroying, or changing computer source code under section 20?",legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 9, chunk eval_dsa_007 — retrieved as relevant context for the answer."
dsa_008,digital_security,What is identity fraud or being in disguise under the Digital Security Act?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 10-11, chunk eval_dsa_008 — retrieved as relevant context for the answer."
dsa_009,digital_security,What punishment is provided for collecting or using identity information without permission under section 26?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 11-12, chunk eval_dsa_009 — retrieved as relevant context for the answer."
dsa_010,digital_security,How does section 27 describe cyber-terrorism?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 12, chunk eval_dsa_010 — retrieved as relevant context for the answer."
dsa_011,digital_security,What is the offence and punishment for publishing defamatory information electronically under section 29?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 13, chunk eval_dsa_011 — retrieved as relevant context for the answer."
dsa_012,digital_security,What is hacking under section 34 and what punishment can it carry?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 14-15, chunk eval_dsa_012 — retrieved as relevant context for the answer."
lab_001,labour,What is the purpose of the Bangladesh Labour Act 2006?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 1, chunk eval_lab_001 — retrieved as relevant context for the answer."
lab_002,labour,How are workers classified under section 4 of the Bangladesh Labour Act?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 10-11, chunk eval_lab_002 — retrieved as relevant context for the answer."
lab_003,labour,What does section 5 require before employing a worker?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 11, chunk eval_lab_003 — retrieved as relevant context for the answer."
