id,domain,question,num_docs,latency_ms,keyword_recall,top_source,top_score,hit@1,precision@1,mrr@1,ndcg@1,hit@3,precision@3,mrr@3,ndcg@3,hit@5,precision@5,mrr@5,ndcg@5,hit@10,precision@10,mrr@10,ndcg@10
dsa_001,digital_security,What is the main purpose of the Digital Security Act 2018?,10,4937.98,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,2.93973970413208,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.9295,1.0,1.0,1.0,0.946,1.0,1.0,1.0,0.9629
dsa_002,digital_security,How does the Digital Security Act define Critical Information Infrastructure?,10,3465.16,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,5.689190864562988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dsa_003,digital_security,What does the Digital Security Act say about extra-territorial application?,10,5981.18,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,-1.6834956407546997,1.0,1.0,1.0,0.65,1.0,1.0,1.0,0.9256,1.0,1.0,1.0,0.943,1.0,1.0,1.0,0.9609
dsa_004,digital_security,"Under section 8 of the Digital Security Act, who may request removal or blocking of data-information?",10,3344.55,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,5.586538314819336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dsa_005,digital_security,What is the punishment for illegal entrance in critical information infrastructure under section 17?,10,3401.05,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,9.029664039611816,1.0,1.0,1.0,0.9917,1.0,1.0,1.0,0.9961,1.0,1.0,1.0,0.9972,1.0,1.0,1.0,0.9987
dsa_006,digital_security,What offences are described as damage of computer or computer system under section 19?,10,2749.73,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,3.6637215614318848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dsa_007,digital_security,"What is the punishment for hiding, destroying, or changing computer source code under section 20?",10,3158.58,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,5.241436004638672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dsa_008,digital_security,What is identity fraud or being in disguise under the Digital Security Act?,10,2732.19,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,4.850120544433594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9349,1.0,1.0,1.0,0.9907
dsa_009,digital_security,What punishment is provided for collecting or using identity information without permission under section 26?,10,2912.16,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,6.988808631896973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9384,1.0,1.0,1.0,0.9901
dsa_010,digital_security,How does section 27 describe cyber-terrorism?,10,3077.62,0.8571,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,-1.9843425750732422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9303,1.0,1.0,1.0,0.9461,1.0,1.0,1.0,0.9837
