id,domain,question,status,latency_ms,answer_keyword_score,expected_keyword_coverage,forbidden_content_score,has_sources,has_disclaimer,evidence_score,has_enough_evidence,citation_check_passed,answer_preview,error
dsa_001,digital_security,What is the main purpose of the Digital Security Act 2018?,live,6484.89,1.0,1.0,1.0,1.0,0.0,0.8,1.0,1.0,"The main purpose of the Digital Security Act 2018 is to ensure national digital security and to enact laws concerning the identification, prevention, suppression, trial, and other related matters of digital crimes<sup>[1]</sup>. The Act aims to formulate provisions to identify, prevent, restrain, and judge crimes occurring through digital mediums and to ensure digital security<sup>[2]</sup>. It also seeks to secure the nation and the public's life and property from cyber and digital crimes<sup>[",
dsa_002,digital_security,How does the Digital Security Act define Critical Information Infrastructure?,live,4666.33,1.0,1.0,1.0,1.0,0.0,0.8571,1.0,1.0,"The Digital Security Act defines ""Critical Information Infrastructure"" as any physical or virtual information infrastructure declared by the government<sup>[1]</sup>. This infrastructure must be capable of controlling, processing, circulating, or preserving any information, data, or electronic information<sup>[1]</sup>. Furthermore, if this infrastructure is damaged or compromised, it could adversely affect public safety, financial security, public health, national security, or national integrit",
dsa_003,digital_security,What does the Digital Security Act say about extra-territorial application?,live,10015.19,0.0,0.0,1.0,1.0,0.0,0.8,1.0,0.0,"The uploaded documents do not contain enough information about the extra-territorial application of the Digital Security Act. The provided text discusses the objectives of the Act, the functions of a council, and general provisions for digital security within Bangladesh <sup>[1, 2, 3]</sup>.<sup>[1]</sup>   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 6, chunk 17 — retrieved as relevant context for the answer.",
dsa_004,digital_security,"Under section 8 of the Digital Security Act, who may request removal or blocking of data-information?",live,8811.4,1.0,1.0,1.0,1.0,0.0,0.7778,1.0,1.0,"Under section 8 of the Digital Security Act, the Director General may request the Bangladesh Telecommunications and Regulatory Authority (BTRC) to remove or block data-information if it threatens Digital Security and falls under their purview<sup>[1]</sup>. Additionally, a law and order enforcing security force can request BTRC to block or remove data-information, if it hampers national unity, financial activities, security, defense, religious values, public discipline, or incites racism and hat",
dsa_005,digital_security,What is the punishment for illegal entrance in critical information infrastructure under section 17?,live,7343.6,0.5,0.2857,1.0,1.0,0.0,1.0,1.0,1.0,"The uploaded documents do not contain enough information regarding the specific punishment for illegal entrance in critical information infrastructure under section 17<sup>[1]</sup>. While the context defines the activities that constitute an offense under section 17, it does not specify the associated penalty or punishment<sup>[1]</sup>.   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 7, chunk 20 — retrieved as relevant context for the answer.",
dsa_006,digital_security,What offences are described as damage of computer or computer system under section 19?,live,8118.8,1.0,1.0,1.0,1.0,0.0,0.6667,1.0,1.0,"Under Section 19 of the Digital Security Act, 2018, offenses described as damage to a computer or computer system include: *   Collecting data, data-storage, information, or parts thereof, or transferable information or copies thereof, from any computer, computer system, or computer network<sup>[1]</sup>. *   Intentionally inserting or attempting to insert any virus, malware, or harmful software into any computer, computer system, or computer network<sup>[1]</sup>. *   Intentionally harming or a",
dsa_007,digital_security,"What is the punishment for hiding, destroying, or changing computer source code under section 20?",live,13852.3,1.0,0.375,1.0,1.0,0.0,0.625,1.0,1.0,"Under Section 20 of the Digital Security Act, 2018, intentionally or knowingly hiding, destroying, or changing source code used in a computer, computer system, or computer network, or attempting to do so, is considered an offense if the source code is preservable and securable<sup>[1]</sup>,<sup>[2]</sup>.  The punishments for this offense are as follows: *   **For the first offense**: Imprisonment for a term not exceeding 3 (three) years, or a fine not exceeding 3 (three) lac taka, or both<sup>",
dsa_008,digital_security,What is identity fraud or being in disguise under the Digital Security Act?,live,9051.18,0.0,0.0,1.0,1.0,0.0,0.875,1.0,0.0,"I could not find enough information in the uploaded legal documents to answer this safely.<sup>[1]</sup>   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 10, chunk 29 — retrieved as relevant context for the answer.",
dsa_009,digital_security,What punishment is provided for collecting or using identity information without permission under section 26?,live,7503.75,1.0,0.6667,1.0,1.0,0.0,1.0,1.0,1.0,"For collecting, selling, taking possession, supplying, or using any person's identity information without legal authority, a person will be penalized with imprisonment for a term not exceeding 5 (five) years or a fine not exceeding 5 (five) lacs taka, or both<sup>[1]</sup>.  If the offense is committed for the second time or recurrently, the punishment increases to imprisonment for a term not exceeding 7 (seven) years or a fine not exceeding 10 (ten) lacs taka, or both<sup>[1]</sup>.   **Sources",
dsa_010,digital_security,How does section 27 describe cyber-terrorism?,live,6345.11,0.0,0.2857,1.0,1.0,0.0,0.5,1.0,0.0,"The uploaded documents do not contain enough information to describe how section 27 defines cyber-terrorism.<sup>[1]</sup>   **Sources**  - **[1] Digital-Security-Act-2018.pdf**, page 22, chunk 63 — retrieved as relevant context for the answer.",
